Timestamp,Open,High,Low,Close,Spread (Pips),RSI(14),"MA(20,SMA)",MACD Main,MACD Signal,ATR(14),ADX(14),plusDI(14),minusDI(14),StochK(14),StochD(14),BB_Upper,BB_Mid,BB_Lower
2025.07.18 08:00,120369.641,120610.336,120183.047,120527.039,36421,60.66309283,120107.1344,172.8147533,163.3235907,317.5814286,21.85525718,33.76406286,13.43205381,66.87668903,51.93523728,0,0,0
2025.07.18 08:15,120515.195,120591.141,120347.836,120518.836,36421,60.4602556,120160.5551,186.1593258,163.0951973,318.2215,24.68520085,29.26218782,11.6411133,80.0915144,65.73410043,0,0,0
2025.07.18 08:30,120510.422,120526.734,120246.336,120249.438,36421,54.06647802,120187.7836,173.0025627,163.0155744,305.2700714,24.85168989,25.36056277,14.91543771,80.36230187,75.7768351,0,0,0
2025.07.18 08:45,120249.438,120607.938,120249.438,120570.141,36421,59.55044279,120230.4086,186.3061636,163.439053,297.9860714,25.78238905,24.99929387,12.92671268,81.94235034,80.7987222,0,0,0
2025.07.18 09:00,120570.234,120827.836,120268.336,120390.789,36421,55.55576353,120237.8762,180.2987834,163.6477594,317.5575,27.83881018,26.90640024,11.20315099,71.54401572,77.94955597,0,0,0
2025.07.18 09:15,120390.445,120401.539,120135.641,120135.641,36421,50.37836478,120237.1813,153.183773,164.4273178,320.6434286,26.46405409,23.31888021,16.36332748,63.02632623,72.17089743,0,0,0
2025.07.18 09:30,120132.078,120277.734,120056.922,120247.438,36421,52.46855668,120232.3977,139.1124141,164.8376817,320.4296429,23.36974724,20.20969618,18.93485495,49.42478548,61.33170914,0,0,0
2025.07.18 09:45,120247.438,120444.938,120212.672,120220.336,36421,51.89784041,120227.0227,124.3405356,163.072406,319.3242143,23.53269431,27.11349022,16.41020762,44.38238062,52.27783078,0,0,0
2025.07.18 10:00,120220.336,120357.438,119974.281,120063.141,36421,48.59608794,120226.661,98.81036833,157.1142978,322.5385714,20.67910488,23.49835819,22.51785682,42.23765831,45.3482748,0,0,0
2025.07.18 10:15,120063.141,120063.141,119607.234,119648.336,36421,41.15541596,120199.7454,44.59219886,142.8673473,332.8767857,20.52579242,20.36524377,30.25003362,26.55293484,37.72432459,0,0,0
2025.07.18 10:30,119639.641,119849.438,119613.563,119834.641,36421,45.21287872,120178.7505,16.46734017,124.0126822,313.8605714,20.39292163,17.64987793,26.2166958,17.67407016,28.82155443,0,0,0
2025.07.18 10:45,119831.852,119834.641,119281.836,119338.336,36421,37.7461621,120142.8154,-45.34674957,99.75164751,334.2696429,22.14324188,15.29656087,30.72219762,8.151301012,17.45943534,0,0,0
2025.07.18 11:00,119322.609,119464.938,119212.539,119242.039,36421,36.48707619,120102.1408,-100.9416319,67.83522579,334.6368571,24.40537862,13.25701942,30.28661641,7.152309992,10.99256039,0,0,0
2025.07.18 11:15,119226.859,119406.141,119058.781,119111.938,36421,34.79822191,120056.3107,-153.7269712,30.72125306,343.9622143,27.46390134,11.48941683,32.15036619,2.822455679,6.042022227,0,0,0
2025.07.18 11:30,119092.797,119097.438,118362.508,118442.734,36421,27.6968004,119963.1607,-246.7149268,-13.71193581,366.9722857,31.84679685,9.95749459,40.25125194,2.7844771,4.253080923,0,0,0
2025.07.18 11:45,118442.734,118712.938,118388.578,118619.039,36421,31.6540359,119884.3857,-302.6929556,-62.80142133,372.7619286,35.6453063,8.629828645,34.88441835,5.819862976,3.808931918,0,0,0
2025.07.18 12:00,118611.945,118881.734,118424,118824.234,36421,36.0415558,119832.8107,-326.7320612,-112.9205988,385.4287857,36.47159682,12.39604338,30.23316257,10.79616992,6.466836666,0,0,0
2025.07.18 12:15,118824.234,118829.141,118531.938,118631.438,36421,33.84322096,119761.4506,-357.2224139,-163.5909079,381.0504286,37.18771527,10.7432376,26.20207423,13.34760865,9.987880515,0,0,0
2025.07.18 12:30,118649.438,118891.438,118621.836,118794.938,36421,37.33403312,119689.0057,-363.9972212,-208.9897323,360.3434286,36.14831279,12.39174251,22.70846433,16.58451073,13.57609643,0,0,0
2025.07.18 12:45,118794.938,118978.938,118781.891,118866.836,36421,38.86177055,119613.8654,-359.4215491,-250.7551645,355.4255,32.43671172,16.66026343,19.68066909,18.18482372,16.03898103,121063.8888,119613.8654,118163.842
2025.07.18 13:00,118866.836,118917.438,118641.836,118662.641,36421,36.16514778,119520.6455,-368.0297087,-286.6088266,359.3390714,31.38439106,14.43889497,23.83229268,19.79884078,18.18939174,120963.558,119520.6455,118077.733
2025.07.18 13:15,118672.336,118881.539,118485.234,118778.438,36421,38.76032706,119433.6256,-361.3425549,-315.5422625,371.0561429,31.85145085,12.51370897,25.92339027,19.81221762,19.26529404,120834.5554,119433.6256,118032.6958
2025.07.18 13:30,118784.141,118911.234,118731.938,118911.234,36421,41.68811075,119366.7154,-341.3920549,-336.3939385,356.4946429,31.13812915,13.05348085,22.46693824,21.88976345,20.50027395,120732.7919,119366.7154,118000.6389
2025.07.18 13:45,118896.563,119247.641,118869.492,119221.938,36421,47.95731417,119299.3053,-297.0853093,-341.9906476,350.9405,28.14419311,23.17454927,19.47134647,35.197076,25.63301903,120549.3188,119299.3053,118049.2917
